@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00438 , 0.3077 , 0.0969 , 0.6905 , -5.3778
0.00312 , 0.2587 , 0.1682 , 0.5642 , -5.2657
0.00521 , 0.2092 , 0.2385 , 0.4237 , -5.1371
0.00726 , 0.1595 , 0.3103 , 0.2628 , -4.9838
0.00666 , 0.0091 , 0.1470 , 0.1200 , -4.8757
0.00134 , -0.1411 , -0.0159 , -0.0471 , -4.7360
-0.00593 , -0.2906 , -0.1812 , -0.1701 , -4.6928
-0.01306 , -0.2546 , -0.2610 , -0.2907 , -4.6521
-0.01867 , -0.2172 , -0.3386 , -0.3839 , -4.6655
-0.02106 , -0.1817 , -0.4151 , -0.4683 , -4.6733
-0.00111 , 0.0526 , -0.1206 , -1.6226 , 0.8226
0.0029 , 0.1013 , -0.0202 , -2.3704 , 0.9125
0.00753 , 0.1509 , 0.0805 , -3.0649 , 1.0405
0.01311 , 0.1166 , 0.1873 , -3.7593 , 1.1685
0.01764 , 0.0805 , 0.2938 , -4.4147 , 1.3191
0.01564 , 0.0435 , 0.4016 , -5.0549 , 1.4764
0.01547 , -0.0106 , 0.2946 , -5.7607 , 1.6260
0.01261 , -0.0606 , 0.1846 , -6.4902 , 1.7816
0.0069 , -0.1189 , 0.0672 , -7.2132 , 1.8980
-0.00086 , -0.1227 , -0.0879 , -7.9960 , 2.0299
-0.00451 , -0.1336 , -0.2332 , -8.7344 , 2.1495
-0.00805 , -0.1522 , -0.3776 , -9.4684 , 2.2848
-0.00795 , -0.1084 , -0.2804 , -10.1796 , 2.4453
-0.00443 , -0.0579 , -0.1688 , -10.8391 , 2.6124
-0.0005 , -0.0011 , -0.0541 , -11.4513 , 2.7963
0.00529 , 0.0479 , 0.1064 , -11.4561 , 3.5890
0.00948 , 0.1051 , 0.2460 , -11.4463 , 4.3435
0.01549 , 0.1521 , 0.3995 , -11.4365 , 5.0640
0.01923 , 0.0763 , 0.3362 , -10.6174 , 5.2659
0.01828 , -0.0014 , 0.2688 , -9.8212 , 5.4892
0.01303 , -0.0947 , 0.2047 , -9.0397 , 5.7402
0.00651 , -0.1517 , 0.0674 , -8.4239 , 5.9654
-0.00086 , -0.2138 , -0.0626 , -7.8665 , 6.2119
-0.00612 , -0.2661 , -0.1864 , -7.3493 , 6.4990
-0.00926 , -0.1486 , -0.1290 , -7.0665 , 5.8466
-0.0093 , -0.0209 , -0.0813 , -6.7716 , 5.1859
-0.00422 , 0.1034 , -0.0407 , -6.4900 , 4.5058
0.00259 , 0.1685 , 0.0708 , -6.2776 , 3.7660
0.00802 , 0.2350 , 0.1849 , -6.0841 , 3.0093
0.01274 , 0.2972 , 0.3063 , -5.9221 , 2.2529
0.01541 , 0.1608 , 0.2548 , -5.8692 , 1.4622
0.01459 , 0.0197 , 0.2094 , -5.8710 , 0.6687
0.00611 , -0.1124 , 0.1665 , -5.8698 , -0.1063
-9E-05 , -0.1755 , 0.0076 , -5.7739 , -0.8647
-0.0048 , -0.2427 , -0.1590 , -5.6211 , -1.6459
-0.00757 , -0.3361 , -0.2859 , -5.3762 , -2.4210
-0.01044 , -0.1780 , -0.2251 , -5.1465 , -3.2199
-0.0129 , -0.0005 , -0.2188 , -4.6824 , -3.9607
0.00788 , -0.0819 , 0.0211 , -3.7200 , 1.4348
0.0051 , -0.1275 , -0.0606 , -3.5376 , 1.6167
0.00231 , -0.0938 , -0.0996 , -3.5704 , 0.7039
0.00013 , -0.0664 , -0.1388 , -3.6230 , -0.2593
0.00128 , -0.0383 , -0.1760 , -3.6861 , -1.1852
0.00378 , 0.0342 , -0.0855 , -4.2647 , -0.8417
0.00918 , 0.1131 , 0.0045 , -4.7162 , -0.5100
0.01293 , 0.1946 , 0.0985 , -5.1985 , -0.1562
0.01645 , 0.1545 , 0.1440 , -5.6578 , 0.1613
0.0182 , 0.1140 , 0.1914 , -6.1076 , 0.4874
0.01914 , 0.0760 , 0.2389 , -6.6017 , 0.8256
