@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00676 , 0.2435 , 0.2023 , 4.3656 , -5.4411
-0.00099 , 0.1641 , 0.2185 , 4.1341 , -5.6706
0.0035 , 0.0831 , 0.2348 , 3.9117 , -5.9041
0.00525 , 0.0004 , 0.2490 , 3.6803 , -6.1429
0.0048 , -0.0561 , 0.1150 , 3.4827 , -5.7840
0.00288 , -0.1122 , -0.0199 , 3.2759 , -5.4241
-0.00169 , -0.1690 , -0.1551 , 3.0756 , -5.0684
-0.00656 , -0.1196 , -0.1877 , 2.8465 , -4.7183
-0.00971 , -0.0712 , -0.2170 , 2.6147 , -4.3727
-0.0116 , -0.0235 , -0.2429 , 2.3804 , -4.0317
-0.01144 , 0.0537 , -0.1418 , 2.1435 , -3.6952
-0.00987 , 0.1303 , -0.0379 , 1.9069 , -3.3708
-0.00536 , 0.2084 , 0.0670 , 1.6882 , -3.0567
-0.00136 , 0.1466 , 0.0735 , 1.4763 , -2.7255
0.0012 , 0.0830 , 0.0805 , 1.2543 , -2.4208
0.00323 , 0.0195 , 0.0861 , 1.0403 , -2.0951
0.00337 , -0.0367 , -0.0325 , 0.8255 , -1.7712
0.0013 , -0.0925 , -0.1518 , 0.6072 , -1.4331
-0.00157 , -0.1485 , -0.2730 , 0.3745 , -1.1102
-0.0044 , -0.1031 , -0.2615 , 0.2814 , -0.2230
-0.00594 , -0.0591 , -0.2488 , 0.1874 , 0.6437
-0.00553 , -0.0152 , -0.2334 , 0.1109 , 1.5287
-0.0042 , 0.0620 , -0.0777 , -0.4551 , 1.9421
-0.00063 , 0.1393 , 0.0795 , -1.0446 , 2.3103
0.00432 , 0.2173 , 0.2352 , -1.6159 , 2.7077
0.00853 , 0.1598 , 0.2653 , -1.1639 , 2.8787
0.01181 , 0.1006 , 0.2987 , -0.6871 , 3.0361
0.01476 , 0.0405 , 0.3347 , -0.1898 , 3.1872
0.01552 , -0.0320 , 0.2076 , -0.4304 , 3.1970
0.01547 , -0.1049 , 0.0841 , -0.6601 , 3.2160
0.01358 , -0.1786 , -0.0400 , -0.9418 , 3.2439
0.00945 , -0.1457 , -0.0996 , -1.2291 , 3.2749
0.00561 , -0.1130 , -0.1610 , -1.5413 , 3.3085
0.00167 , -0.0813 , -0.2226 , -1.8455 , 3.3356
-0.00024 , 0.0037 , -0.1395 , -2.1563 , 3.3529
-0.00074 , 0.0890 , -0.0564 , -2.4501 , 3.3720
0.00128 , 0.1744 , 0.0268 , -2.7439 , 3.3910
0.00253 , 0.1416 , 0.0627 , -3.0377 , 3.4101
0.00642 , 0.1095 , 0.0985 , -3.3338 , 3.4454
0.00959 , 0.0772 , 0.1356 , -3.6341 , 3.4838
