@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00306 , -0.013391 , 0.001665 , -0.1326 , -0.0453 , -5.7324 , 2.2559
0.00319 , -0.012578 , 0.000174 , -0.1118 , -0.0808 , -6.3361 , 1.9806
0.0046 , -0.012454 , -0.001259 , -0.0915 , -0.1185 , -6.9122 , 1.6972
0.00521 , -0.01061 , -0.000142 , -0.0088 , -0.0393 , -7.1070 , 2.0203
0.00506 , -0.007623 , 0.002683 , 0.0722 , 0.0405 , -7.2903 , 2.3412
0.00382 , -0.005312 , 0.005329 , 0.1488 , 0.1161 , -7.4622 , 2.6599
-0.00061 , -0.004798 , 0.007628 , 0.1210 , 0.1737 , -7.6273 , 2.9439
-0.0017 , -0.006752 , 0.00965 , 0.0933 , 0.2310 , -7.7877 , 3.1873
-0.00594 , -0.008061 , 0.011585 , 0.0679 , 0.2810 , -7.9703 , 3.4938
-0.01116 , -0.010856 , 0.011093 , -0.0190 , 0.2056 , -8.1525 , 3.7554
-0.01329 , -0.014752 , 0.009053 , -0.1089 , 0.1327 , -8.3368 , 4.0410
-0.01615 , -0.017954 , 0.007215 , -0.2013 , 0.0658 , -8.5211 , 4.3487
-0.021 , -0.019437 , 0.005107 , -0.1932 , -0.0182 , -8.6772 , 4.6527
-0.0206 , -0.019157 , 0.002682 , -0.1831 , -0.1040 , -8.8250 , 4.9471
-0.01639 , -0.018157 , 0.000188 , -0.1715 , -0.1913 , -8.9546 , 5.2621
-0.01378 , -0.015958 , 8.2E-05 , -0.0809 , -0.1522 , -9.0641 , 5.5592
-0.01082 , -0.012455 , 0.001636 , 0.0097 , -0.1123 , -9.1689 , 5.8565
-0.00706 , -0.008986 , 0.003156 , 0.0994 , -0.0733 , -9.2747 , 6.1200
